epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,792.59,1.1295,2.7214,2.62927,1.46622,0,0.61842,0.13435,0.08687,0.06089,0.62018,0.12169,0.07902,0.05465,1.16829,2.79228,10.2141,1.56954,0,0.00999395,0.00333132,0.00999395,0.00333132,0.00999395,0.00333132,0.00999395,0.00333132
2,1506.73,1.1487,2.5119,2.06012,1.46079,0,0.28924,0.15166,0.08939,0.05939,0.28592,0.14615,0.0829,0.05269,1.15105,2.65122,5.25131,1.53726,0,0.019829,0.00660967,0.019829,0.00660967,0.019829,0.00660967,0.019829,0.00660967
3,2196.01,1.22662,2.64213,2.16724,1.51925,0,0.58205,0.15996,0.09588,0.06129,0.55117,0.14604,0.08272,0.05398,1.21603,2.69763,9.17125,1.59918,0,0.0294991,0.00983302,0.0294991,0.00983302,0.0294991,0.00983302,0.0294991,0.00983302
4,2872.54,1.21412,2.59314,2.14322,1.52066,0,0.54437,0.16254,0.1118,0.07344,0.56415,0.15227,0.10427,0.06553,1.09319,2.53925,6.41071,1.47881,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,3551.5,1.14098,2.47684,2.00074,1.46389,0,0.45659,0.20566,0.13713,0.0861,0.69714,0.13349,0.12801,0.07655,1.07704,2.41477,5.985,1.46886,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,4232.46,1.09839,2.40523,1.90833,1.42715,0,0.71371,0.16914,0.15966,0.10426,0.697,0.16247,0.14643,0.089,0.99708,2.32738,4.73475,1.37382,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,4910.92,1.07582,2.34774,1.85455,1.40878,0,0.48073,0.23977,0.17955,0.114,0.47637,0.23576,0.16823,0.09941,0.9834,2.25996,3.87197,1.36205,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,5589.59,1.03826,2.2871,1.77204,1.3824,0,0.38502,0.23687,0.17954,0.11546,0.39884,0.23247,0.16964,0.10415,0.96302,2.22689,4.27178,1.32841,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,6268.24,1.03172,2.27148,1.74742,1.37467,0,0.39895,0.30656,0.20892,0.13547,0.42597,0.26625,0.20744,0.12289,0.94083,2.15557,4.09667,1.3275,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,6949.05,1.01086,2.23275,1.7103,1.36411,0,0.44357,0.27151,0.22804,0.14637,0.42776,0.2646,0.22034,0.13189,0.9352,2.1166,3.88905,1.29962,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,7630.46,0.99746,2.19929,1.67062,1.35335,0,0.47265,0.27901,0.23062,0.14995,0.46102,0.27383,0.21847,0.13477,0.91925,2.06087,4.04706,1.27929,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,8311.7,0.97729,2.13882,1.62706,1.33474,0,0.45052,0.31951,0.25434,0.16858,0.45451,0.30723,0.24651,0.15159,0.8947,2.05291,4.00699,1.25823,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,8989.55,0.97163,2.12881,1.61269,1.33093,0,0.43006,0.35453,0.26299,0.17835,0.4396,0.33278,0.25471,0.16148,0.89752,1.9973,4.08558,1.26944,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,9667.49,0.97625,2.11739,1.59274,1.33255,0,0.44085,0.333,0.25751,0.16863,0.44007,0.32914,0.25087,0.14971,0.89561,2.02142,3.93242,1.26371,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,10345.6,0.95434,2.08455,1.55297,1.31596,0,0.48761,0.30766,0.27565,0.18136,0.48006,0.3176,0.26665,0.16315,0.87668,1.96865,3.84277,1.2349,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,11024.5,0.95833,2.09089,1.55276,1.31385,0,0.46771,0.31401,0.27665,0.18467,0.64459,0.30334,0.27187,0.16728,0.90435,1.95454,3.75516,1.25567,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,11701.2,0.94426,2.06203,1.51494,1.304,0,0.53624,0.36374,0.28982,0.1897,0.53679,0.35973,0.27861,0.16878,0.8936,2.003,3.8476,1.25266,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,12378.5,0.94236,2.04178,1.50934,1.30366,0,0.45114,0.35095,0.29674,0.19858,0.48954,0.32195,0.29009,0.17979,0.8706,1.95837,3.30564,1.22605,0,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,13054.8,0.93556,2.03115,1.48745,1.29593,0,0.50138,0.33228,0.29992,0.20185,0.48937,0.32832,0.28883,0.17997,0.8649,1.94211,3.43082,1.22179,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,13730.5,0.92711,2.02546,1.47852,1.29258,0,0.47641,0.3705,0.32127,0.21838,0.49317,0.35746,0.31669,0.19831,0.8546,1.90853,3.31024,1.20601,0,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,14409.2,0.92513,1.99721,1.45059,1.28865,0,0.47789,0.35047,0.30925,0.20857,0.49124,0.34744,0.30041,0.18872,0.84103,1.9087,3.41899,1.19396,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,15087,0.92642,1.99528,1.45248,1.29088,0,0.50712,0.36794,0.31968,0.21725,0.49967,0.36118,0.3052,0.19387,0.84201,1.89126,3.39694,1.19455,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,15764,0.92006,1.97416,1.43354,1.28193,0,0.47177,0.38292,0.3305,0.22331,0.49512,0.3735,0.31562,0.20005,0.84567,1.89121,3.28043,1.19505,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,16440.7,0.9125,1.97016,1.41019,1.28023,0,0.48544,0.35943,0.32429,0.21896,0.48145,0.35238,0.31175,0.19542,0.8405,1.88205,3.41592,1.19123,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,17117.1,0.90687,1.94771,1.40293,1.27951,0,0.48022,0.38427,0.32449,0.21875,0.46986,0.35865,0.31387,0.19535,0.84395,1.88718,3.33155,1.20163,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,17791.6,0.90654,1.95616,1.39084,1.27491,0,0.49484,0.39661,0.33833,0.23186,0.48415,0.3584,0.32795,0.2096,0.83741,1.86271,3.08786,1.19387,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,18466.1,0.90121,1.92791,1.37321,1.26972,0,0.49881,0.40877,0.34045,0.23635,0.49402,0.40408,0.3311,0.21095,0.82885,1.85794,3.11057,1.1911,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,19142.3,0.89931,1.92278,1.36026,1.26786,0,0.49823,0.38115,0.33804,0.23422,0.49751,0.37958,0.33334,0.21002,0.83778,1.85495,3.10814,1.1893,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,19820.5,0.89475,1.90089,1.34857,1.26213,0,0.47421,0.40832,0.33713,0.23286,0.46964,0.39238,0.33153,0.21,0.84301,1.85048,3.11807,1.19365,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,20497.3,0.89162,1.90809,1.34376,1.25926,0,0.48281,0.41919,0.3367,0.23082,0.47865,0.41366,0.32725,0.2087,0.84532,1.85776,3.16479,1.19266,0,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,21176,0.89125,1.91316,1.33133,1.25691,0,0.48066,0.40637,0.33395,0.229,0.47325,0.40251,0.32493,0.20799,0.84391,1.85579,3.13761,1.18873,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,21854.1,0.88595,1.88969,1.31852,1.25339,0,0.49395,0.39756,0.33748,0.23175,0.48652,0.39451,0.3311,0.2097,0.84278,1.85761,3.06088,1.18807,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,22531.2,0.87935,1.86501,1.31495,1.24951,0,0.48747,0.40036,0.34015,0.23406,0.48883,0.40078,0.33305,0.2116,0.83996,1.8485,3.05518,1.18359,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,23209.6,0.87185,1.85541,1.29144,1.24346,0,0.50057,0.3892,0.34405,0.23593,0.49712,0.39682,0.33486,0.21454,0.83944,1.85291,3.06892,1.18453,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,23886.7,0.88097,1.86472,1.28833,1.24553,0,0.50515,0.3915,0.34571,0.23605,0.50846,0.39244,0.33586,0.21491,0.83699,1.84885,3.08476,1.18294,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,24562.1,0.88055,1.86783,1.28627,1.24528,0,0.53585,0.39825,0.34918,0.23669,0.52653,0.39424,0.33715,0.21481,0.83855,1.8517,3.08454,1.18527,0,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,25237.2,0.86742,1.82531,1.27075,1.23549,0,0.51116,0.4219,0.3505,0.2363,0.50603,0.41553,0.33865,0.21487,0.83835,1.85065,3.07895,1.18488,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,25913.3,0.87068,1.83779,1.27322,1.2393,0,0.51053,0.42351,0.35046,0.23623,0.50766,0.41991,0.33904,0.21411,0.83849,1.85053,3.07158,1.18398,0,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,26589.3,0.86239,1.8345,1.25108,1.23619,0,0.51523,0.42797,0.3522,0.23818,0.51186,0.42336,0.34109,0.21658,0.83772,1.84955,3.06494,1.18429,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,27264.5,0.8584,1.80255,1.24313,1.23107,0,0.52169,0.42706,0.3517,0.23867,0.51811,0.42214,0.34024,0.21476,0.83614,1.8518,3.06019,1.18256,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,27939.8,0.85827,1.80198,1.23311,1.22758,0,0.52521,0.38646,0.35083,0.23923,0.5158,0.42017,0.34166,0.21608,0.83694,1.85158,3.06202,1.18285,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,28616.2,0.86114,1.80679,1.22851,1.23119,0,0.52077,0.3844,0.35184,0.23936,0.39823,0.42419,0.34035,0.21626,0.83587,1.85699,3.06523,1.18225,0,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,29291.7,0.85513,1.7987,1.21695,1.22911,0,0.51646,0.38667,0.35159,0.2391,0.38519,0.41945,0.34146,0.21624,0.83539,1.85686,3.06581,1.18144,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,29969,0.84771,1.78122,1.19718,1.21885,0,0.52637,0.38708,0.35289,0.2399,0.51647,0.38281,0.34086,0.217,0.83415,1.85738,3.07031,1.18046,0,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,30647.6,0.84466,1.74879,1.19363,1.21555,0,0.52889,0.37916,0.35246,0.23904,0.5134,0.37797,0.33998,0.21596,0.83494,1.86082,3.06494,1.18105,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,31324.7,0.84803,1.75403,1.1875,1.21891,0,0.54864,0.37112,0.35185,0.23834,0.60115,0.35607,0.33828,0.21518,0.83556,1.85904,3.05059,1.18138,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,32000.8,0.84168,1.756,1.18242,1.21431,0,0.55331,0.37168,0.35122,0.2382,0.54793,0.36803,0.33916,0.21528,0.83637,1.86323,3.04197,1.18227,0,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,32677.3,0.84486,1.76329,1.18511,1.21771,0,0.52528,0.3797,0.35122,0.23808,0.40049,0.41931,0.33937,0.21396,0.83665,1.86184,3.03915,1.18225,0,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,33354.4,0.83652,1.72145,1.16686,1.20607,0,0.52449,0.38262,0.35276,0.2392,0.40922,0.41634,0.34022,0.21433,0.83761,1.86296,3.03954,1.18224,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,34031.2,0.83137,1.72017,1.14956,1.20144,0,0.52626,0.38237,0.35324,0.23981,0.41101,0.41655,0.34051,0.21452,0.83823,1.86491,3.03207,1.18284,0,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,34707.4,0.83178,1.73109,1.15225,1.2048,0,0.54364,0.37842,0.35416,0.23984,0.40997,0.40927,0.33998,0.215,0.83873,1.86668,3.01704,1.18327,0,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,35383.9,0.83141,1.71291,1.13295,1.20503,0,0.55481,0.37642,0.35519,0.24035,0.41201,0.40623,0.34084,0.21424,0.84064,1.86777,3.01487,1.18517,0,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,36060.6,0.82136,1.70586,1.12904,1.1961,0,0.55977,0.38212,0.35411,0.24032,0.54009,0.37756,0.3405,0.21434,0.84137,1.86967,3.01202,1.18569,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,36738.7,0.82949,1.70778,1.1269,1.19981,0,0.58194,0.38043,0.35507,0.24073,0.55531,0.37524,0.34117,0.2147,0.84309,1.87136,3.00637,1.18649,0,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,37417,0.81487,1.67725,1.10668,1.19208,0,0.56639,0.38093,0.35664,0.24169,0.55104,0.37534,0.34292,0.21579,0.84359,1.87316,2.99737,1.18629,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,38095.1,0.81772,1.69537,1.10928,1.19348,0,0.56508,0.38072,0.35751,0.24244,0.54588,0.37718,0.3438,0.21648,0.84493,1.87407,2.9961,1.18708,0,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,38771.8,0.80987,1.67605,1.1044,1.1896,0,0.56811,0.38075,0.35808,0.24179,0.55409,0.37487,0.34421,0.2162,0.84639,1.87448,2.99937,1.18786,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,39447.5,0.815,1.66623,1.08946,1.18951,0,0.5593,0.38093,0.36052,0.24226,0.5507,0.37473,0.34593,0.21627,0.84772,1.87649,3.00039,1.18896,0,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,40122.4,0.81404,1.67578,1.08664,1.18646,0,0.56287,0.38017,0.36025,0.2426,0.5605,0.37636,0.34593,0.21631,0.84907,1.87665,3.00426,1.18995,0,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,40798.6,0.80454,1.6551,1.075,1.18081,0,0.57322,0.38184,0.36079,0.24257,0.56362,0.37596,0.34492,0.21655,0.8497,1.87961,2.99558,1.19059,0,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,41475.9,0.80367,1.65464,1.07369,1.18127,0,0.57834,0.3785,0.36,0.2426,0.56956,0.37477,0.34648,0.21658,0.85056,1.88262,3.00314,1.19146,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
