epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,246.608,0.98818,2.48813,1.83441,1.08381,0,0.40561,0.32254,0.23223,0.13528,0.42806,0.28543,0.22809,0.11837,0.92686,2.24455,1.51836,1.05349,0,0.000255394,0.000255394,0.000255394
2,461.41,0.98741,2.22261,1.34244,1.05525,0,0.37489,0.31502,0.28537,0.1665,0.51011,0.29695,0.27405,0.14205,0.92732,2.37955,1.39789,1.06201,0,0.000507506,0.000507506,0.000507506
3,682.552,0.97674,2.16415,1.28069,1.0487,0,0.53361,0.33117,0.32259,0.19624,0.53579,0.33227,0.31888,0.17434,1.00878,2.28031,1.3914,1.0955,0,0.000755388,0.000755388,0.000755388
4,901.826,0.97199,2.10945,1.20219,1.03944,0,0.48865,0.29865,0.33646,0.20559,0.39505,0.33433,0.31486,0.17903,0.95772,2.24748,1.22567,1.06926,0,0.000749967,0.000749967,0.000749967
5,1100.82,0.94362,2.02166,1.14708,1.03088,0,0.62437,0.35918,0.35038,0.22265,0.61172,0.35215,0.34165,0.19691,0.94201,2.11571,1.18169,1.06222,0,0.000743623,0.000743623,0.000743623
6,1325.06,0.91623,1.93079,1.06936,1.00841,0,0.52559,0.40405,0.36557,0.2264,0.57265,0.36698,0.35977,0.19817,0.90657,2.1881,1.27257,1.04076,0,0.000737279,0.000737279,0.000737279
7,1543.52,0.90902,1.87246,1.02839,1.00385,0,0.38103,0.37678,0.37446,0.22469,0.3642,0.36302,0.35101,0.19962,0.94527,2.09038,1.11253,1.05831,0,0.000730935,0.000730935,0.000730935
8,1763.1,0.88698,1.81251,0.97504,0.99528,0,0.31366,0.43417,0.37284,0.22744,0.29762,0.42151,0.3534,0.19424,0.95936,2.16714,1.17113,1.07083,0,0.00072459,0.00072459,0.00072459
9,1980.62,0.87454,1.7545,0.9322,0.98811,0,0.41214,0.42936,0.39773,0.24539,0.41998,0.418,0.38446,0.21038,0.94828,2.12984,1.11454,1.0695,0,0.000718246,0.000718246,0.000718246
10,2199.79,0.85163,1.69323,0.89355,0.97881,0,0.41409,0.39115,0.37034,0.23759,0.45524,0.3912,0.36751,0.21174,0.92578,2.08366,1.09785,1.04908,0,0.000711902,0.000711902,0.000711902
11,2421.2,0.84248,1.65128,0.86399,0.97075,0,0.48473,0.38976,0.38107,0.22739,0.4911,0.37479,0.36512,0.20474,0.97013,2.25593,1.09855,1.08313,0,0.000705558,0.000705558,0.000705558
12,2642.79,0.8317,1.61734,0.84201,0.96544,0,0.45954,0.44619,0.37898,0.23342,0.57515,0.38317,0.35451,0.20216,0.95246,2.16648,1.14508,1.07336,0,0.000699213,0.000699213,0.000699213
13,2858.34,0.82092,1.5906,0.80016,0.95941,0,0.37283,0.45181,0.41885,0.26015,0.40034,0.39467,0.40009,0.22879,0.92853,2.2004,1.11023,1.06281,0,0.000692869,0.000692869,0.000692869
14,3076.67,0.80531,1.54958,0.7766,0.95525,0,0.43776,0.42867,0.39147,0.23462,0.42774,0.41882,0.3754,0.21021,0.94968,2.23422,1.09776,1.07272,0,0.000686525,0.000686525,0.000686525
15,3300.92,0.78751,1.50866,0.75185,0.94657,0,0.35538,0.42252,0.38624,0.24067,0.35955,0.40843,0.37549,0.21776,0.92241,2.16566,1.08344,1.05371,0,0.000680181,0.000680181,0.000680181
16,3524.06,0.78689,1.47652,0.72222,0.94472,0,0.37723,0.44018,0.3922,0.24064,0.34806,0.43299,0.37355,0.21596,0.9514,2.23596,1.07772,1.07312,0,0.000673836,0.000673836,0.000673836
17,3758,0.7736,1.45471,0.69937,0.93821,0,0.38851,0.43437,0.39383,0.24356,0.38822,0.41047,0.37892,0.22094,0.94411,2.20824,1.07522,1.06102,0,0.000667492,0.000667492,0.000667492
18,3982.26,0.76384,1.43114,0.68626,0.9325,0,0.5056,0.39087,0.38941,0.24455,0.48712,0.37824,0.37546,0.22083,0.9236,2.23721,1.06524,1.06806,0,0.000661148,0.000661148,0.000661148
19,4192.61,0.75344,1.3964,0.6555,0.92499,0,0.53999,0.43418,0.41695,0.25525,0.53528,0.42678,0.40043,0.22875,0.95118,2.23302,1.15534,1.07853,0,0.000654804,0.000654804,0.000654804
20,4403.82,0.74929,1.3885,0.64864,0.92588,0,0.36949,0.46932,0.41136,0.24852,0.36859,0.44474,0.39966,0.22483,0.93411,2.20768,1.09059,1.06426,0,0.000648459,0.000648459,0.000648459
21,4616.76,0.72987,1.35513,0.62247,0.91729,0,0.62813,0.41275,0.40778,0.25204,0.6314,0.40843,0.40052,0.22864,0.94984,2.34158,1.11409,1.09218,0,0.000642115,0.000642115,0.000642115
22,4834.98,0.72233,1.33153,0.60682,0.91574,0,0.43788,0.43476,0.40899,0.23792,0.43363,0.42791,0.38579,0.21655,0.94442,2.25226,1.12664,1.08594,0,0.000635771,0.000635771,0.000635771
23,5048.18,0.71223,1.30641,0.58144,0.90491,0,0.51852,0.36817,0.386,0.23217,0.53772,0.33832,0.36575,0.21118,0.93899,2.32533,1.13395,1.0772,0,0.000629427,0.000629427,0.000629427
24,5264.67,0.7106,1.2924,0.57335,0.90411,0,0.49923,0.41809,0.3993,0.24119,0.67404,0.37294,0.38796,0.21803,0.94128,2.28757,1.11871,1.0779,0,0.000623082,0.000623082,0.000623082
25,5483.31,0.69669,1.26191,0.55784,0.90062,0,0.48086,0.41423,0.38242,0.23725,0.59643,0.38941,0.36147,0.20895,0.92801,2.30008,1.1545,1.06881,0,0.000616738,0.000616738,0.000616738
26,5697.91,0.70338,1.26779,0.55696,0.90162,0,0.52579,0.38447,0.39252,0.24197,0.52486,0.3774,0.38229,0.21862,0.94673,2.33797,1.15815,1.07749,0,0.000610394,0.000610394,0.000610394
27,5919.11,0.68249,1.23169,0.53681,0.89579,0,0.40367,0.41774,0.40019,0.24462,0.39528,0.40838,0.37848,0.21663,0.96408,2.37277,1.13838,1.11101,0,0.00060405,0.00060405,0.00060405
