iou,conf,class,n_gt,recall
0.3,0.05,Abrasion,408,0.9264705882352942
0.3,0.05,Filling,186,0.8333333333333334
0.3,0.05,Crown,19,1.0
0.3,0.05,Caries 1 class,62,0.8870967741935484
0.3,0.05,Caries 2 class,73,0.726027397260274
0.3,0.05,Caries 3 class,33,0.5757575757575758
0.3,0.05,Caries 4 class,4,0.5
0.3,0.05,Caries 5 class,81,0.8024691358024691
0.3,0.05,Caries 6 class,5,0.4
0.3,0.1,Abrasion,408,0.9019607843137255
0.3,0.1,Filling,186,0.7795698924731183
0.3,0.1,Crown,19,1.0
0.3,0.1,Caries 1 class,62,0.7580645161290323
0.3,0.1,Caries 2 class,73,0.6164383561643836
0.3,0.1,Caries 3 class,33,0.3939393939393939
0.3,0.1,Caries 4 class,4,0.5
0.3,0.1,Caries 5 class,81,0.7654320987654321
0.3,0.1,Caries 6 class,5,0.4
0.3,0.25,Abrasion,408,0.8529411764705882
0.3,0.25,Filling,186,0.6827956989247311
0.3,0.25,Crown,19,0.7894736842105263
0.3,0.25,Caries 1 class,62,0.6451612903225806
0.3,0.25,Caries 2 class,73,0.4246575342465753
0.3,0.25,Caries 3 class,33,0.24242424242424243
0.3,0.25,Caries 4 class,4,0.5
0.3,0.25,Caries 5 class,81,0.4691358024691358
0.3,0.25,Caries 6 class,5,0.0
0.5,0.05,Abrasion,408,0.9117647058823529
0.5,0.05,Filling,186,0.7688172043010753
0.5,0.05,Crown,19,1.0
0.5,0.05,Caries 1 class,62,0.7419354838709677
0.5,0.05,Caries 2 class,73,0.6164383561643836
0.5,0.05,Caries 3 class,33,0.36363636363636365
0.5,0.05,Caries 4 class,4,0.5
0.5,0.05,Caries 5 class,81,0.7160493827160493
0.5,0.05,Caries 6 class,5,0.2
0.5,0.1,Abrasion,408,0.8848039215686274
0.5,0.1,Filling,186,0.7204301075268817
0.5,0.1,Crown,19,1.0
0.5,0.1,Caries 1 class,62,0.6612903225806451
0.5,0.1,Caries 2 class,73,0.4931506849315068
0.5,0.1,Caries 3 class,33,0.18181818181818182
0.5,0.1,Caries 4 class,4,0.5
0.5,0.1,Caries 5 class,81,0.691358024691358
0.5,0.1,Caries 6 class,5,0.2
0.5,0.25,Abrasion,408,0.8333333333333334
0.5,0.25,Filling,186,0.6397849462365591
0.5,0.25,Crown,19,0.7894736842105263
0.5,0.25,Caries 1 class,62,0.5483870967741935
0.5,0.25,Caries 2 class,73,0.3835616438356164
0.5,0.25,Caries 3 class,33,0.12121212121212122
0.5,0.25,Caries 4 class,4,0.5
0.5,0.25,Caries 5 class,81,0.41975308641975306
0.5,0.25,Caries 6 class,5,0.0
