variant,class,n_gt,pipeline_AP,v6_ref_AP
full@0.05,Abrasion,408,0.6052608868363389,0.6471
full@0.05,Filling,186,0.2697536346453223,0.2799
full@0.05,Crown,19,0.3354027902790279,0.6313
full@0.05,Caries 1 class,62,0.06310978018436457,0.1195
full@0.05,Caries 2 class,73,0.04165142908271962,0.0845
full@0.05,Caries 3 class,33,0.015841584158415845,0.0116
full@0.05,Caries 4 class,4,0.0,0.0
full@0.05,Caries 5 class,81,0.08486047251723258,0.1097
full@0.05,Caries 6 class,5,0.0,0.0051
full@0.25,Abrasion,408,0.5668732275156476,0.6471
full@0.25,Filling,186,0.24630016243205569,0.2799
full@0.25,Crown,19,0.33223447344734475,0.6313
full@0.25,Caries 1 class,62,0.05249694142346567,0.1195
full@0.25,Caries 2 class,73,0.034547723861056055,0.0845
full@0.25,Caries 3 class,33,0.015841584158415845,0.0116
full@0.25,Caries 4 class,4,0.0,0.0
full@0.25,Caries 5 class,81,0.06601629846422863,0.1097
full@0.25,Caries 6 class,5,0.0,0.0051
TPonly@0.05,Abrasion,408,0.6848727891410678,0.6471
TPonly@0.05,Filling,186,0.28323135725389814,0.2799
TPonly@0.05,Crown,19,0.3680010858228679,0.6313
TPonly@0.05,Caries 1 class,62,0.07938619449790198,0.1195
TPonly@0.05,Caries 2 class,73,0.06114890707433026,0.0845
TPonly@0.05,Caries 3 class,33,0.017821782178217824,0.0116
TPonly@0.05,Caries 4 class,4,0.0,0.0
TPonly@0.05,Caries 5 class,81,0.1073011750741875,0.1097
TPonly@0.05,Caries 6 class,5,0.0,0.0051
